Days,Corn_NDVI_2013,Cotton_NDVI_2013,Soybean_NDVI_2013,Corn_NDVI_2014,Cotton_NDVI_2014,Soybean_NDVI_2014,Corn_MSAVI_2013,Cotton_MSAVI_2013,Soybean_MSAVI_2013,Corn_MSAVI_2014,Cotton_MSAVI_2014,Soybean_MSAVI_2014
201,0.621508237,0.830928569,0.597736616,0.656681717,0.857201689,0.563637392,0.761759181,0.906749701,0.724017469,0.780357859,0.922791046,0.700947996
202,0.607355099,0.830522131,0.606596516,0.641615432,0.856140916,0.572328509,0.750705047,0.90652551,0.732036141,0.766651271,0.922287946,0.707961361
203,0.593201962,0.830115693,0.615456416,0.626549146,0.855080144,0.581019626,0.739650912,0.906301319,0.740054813,0.752944683,0.921784846,0.714974725
204,0.579048825,0.829709255,0.624316316,0.61148286,0.854019372,0.589710744,0.728596778,0.906077129,0.748073485,0.739238095,0.921281747,0.721988089
205,0.564895688,0.829302817,0.633176217,0.596416575,0.852958599,0.598401861,0.717542644,0.905852938,0.756092158,0.725531507,0.920778647,0.729001454
206,0.550741363,0.830841034,0.641692811,0.581350289,0.851897827,0.607092979,0.70490026,0.906810716,0.763170435,0.711824919,0.920275548,0.736014818
207,0.536587037,0.832379252,0.650209406,0.566284004,0.850837054,0.615784096,0.692257875,0.907768495,0.770248712,0.698118331,0.919772448,0.743028182
208,0.522432712,0.833917469,0.658726,0.551217718,0.849776282,0.624475213,0.67961549,0.908726274,0.777326989,0.684411743,0.919269348,0.750041546
209,0.508278387,0.835455687,0.667242594,0.536151433,0.84871551,0.633166331,0.666973105,0.909684052,0.784405267,0.670705155,0.918766249,0.757054911
210,0.494124061,0.836993905,0.675759189,0.521085147,0.847654737,0.641857448,0.65433072,0.910641831,0.791483544,0.656998567,0.918263149,0.764068275
211,0.479969736,0.838532122,0.684275783,0.506018861,0.846593965,0.650548565,0.641688335,0.911599609,0.798561821,0.643291979,0.917760049,0.771081639
212,0.465815411,0.84007034,0.692792378,0.490952576,0.845533192,0.659239683,0.629045951,0.912557388,0.805640098,0.629585391,0.91725695,0.778095004
213,0.454163162,0.838519676,0.697008774,0.47588629,0.84447242,0.6679308,0.616933054,0.91163778,0.809118166,0.615878803,0.91675385,0.785108368
214,0.442510912,0.836969012,0.70122517,0.460820005,0.843411647,0.676621918,0.604820157,0.910718173,0.812596234,0.602172215,0.916250751,0.792121732
215,0.430858663,0.835418348,0.705441566,0.445753719,0.842350875,0.685313035,0.59270726,0.909798565,0.816074302,0.588465627,0.915747651,0.799135097
